path	cell	dataType	antibody	view	replicate	type	lab	hub
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsHaibGm12878Atf2sc81188V0422111UniPk.narrowPeak.gz	GM12878	ChipSeq	ATF2_(SC-81188)	Peaks		narrowPeak	HudsonAlpha	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsHaibGm12878Atf3Pcr1xUniPk.narrowPeak.gz	GM12878	ChipSeq	ATF3	Peaks		narrowPeak	HudsonAlpha	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsHaibGm12878BatfPcr1xUniPk.narrowPeak.gz	GM12878	ChipSeq	BATF	Peaks		narrowPeak	HudsonAlpha	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsHaibGm12878Bcl11aPcr1xUniPk.narrowPeak.gz	GM12878	ChipSeq	BCL11A	Peaks		narrowPeak	HudsonAlpha	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsHaibGm12878Bcl3V0416101UniPk.narrowPeak.gz	GM12878	ChipSeq	BCL3	Peaks		narrowPeak	HudsonAlpha	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsHaibGm12878Bclaf101388V0416101UniPk.narrowPeak.gz	GM12878	ChipSeq	BCLAF1_(SC-101388)	Peaks		narrowPeak	HudsonAlpha	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsSydhGm12878Bhlhe40cIggmusUniPk.narrowPeak.gz	GM12878	ChipSeq	BHLHE40_(NB100-1800)	Peaks		narrowPeak	Stanford	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsSydhGm12878Brca1a300IggmusUniPk.narrowPeak.gz	GM12878	ChipSeq	BRCA1_(A300-000A)	Peaks		narrowPeak	Stanford	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsHaibGm12878Cebpbsc150V0422111UniPk.narrowPeak.gz	GM12878	ChipSeq	CEBPB_(SC-150)	Peaks		narrowPeak	HudsonAlpha	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsSydhGm12878Chd1a301218aIggmusUniPk.narrowPeak.gz	GM12878	ChipSeq	CHD1_(A301-218A)	Peaks		narrowPeak	Stanford	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsSydhGm12878Chd2ab68301IggmusUniPk.narrowPeak.gz	GM12878	ChipSeq	CHD2_(AB68301)	Peaks		narrowPeak	Stanford	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsBroadGm12878CtcfUniPk.narrowPeak.gz	GM12878	ChipSeq	CTCF	Peaks		narrowPeak	Broad	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsSydhGm12878Ctcfsc15914c20UniPk.narrowPeak.gz	GM12878	ChipSeq	CTCF_(SC-15914)	Peaks		narrowPeak	Stanford	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsUtaGm12878CtcfUniPk.narrowPeak.gz	GM12878	ChipSeq	CTCF	Peaks		narrowPeak	UT-A	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsUwGm12878CtcfUniPk.narrowPeak.gz	GM12878	ChipSeq	CTCF	Peaks		narrowPeak	UW	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsSydhGm12878E2f4IggmusUniPk.narrowPeak.gz	GM12878	ChipSeq	E2F4	Peaks		narrowPeak	Stanford	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsHaibGm12878Ebf1sc137065Pcr1xUniPk.narrowPeak.gz	GM12878	ChipSeq	EBF1_(SC-137065)	Peaks		narrowPeak	HudsonAlpha	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsHaibGm12878Egr1Pcr2xUniPk.narrowPeak.gz	GM12878	ChipSeq	Egr-1	Peaks		narrowPeak	HudsonAlpha	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsHaibGm12878Elf1sc631V0416101UniPk.narrowPeak.gz	GM12878	ChipSeq	ELF1_(SC-631)	Peaks		narrowPeak	HudsonAlpha	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsSydhGm12878Elk112771IggmusUniPk.narrowPeak.gz	GM12878	ChipSeq	ELK1_(1277-1)	Peaks		narrowPeak	Stanford	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsHaibGm12878P300Pcr1xUniPk.narrowPeak.gz	GM12878	ChipSeq	p300	Peaks		narrowPeak	HudsonAlpha	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsHaibGm12878Ets1Pcr1xUniPk.narrowPeak.gz	GM12878	ChipSeq	ETS1	Peaks		narrowPeak	HudsonAlpha	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsBroadGm12878Ezh239875UniPk.narrowPeak.gz	GM12878	ChipSeq	EZH2_(39875)	Peaks		narrowPeak	Broad	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsSydhGm12878CfosUniPk.narrowPeak.gz	GM12878	ChipSeq	c-Fos	Peaks		narrowPeak	Yale	Data
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform//wgEncodeAwgTfbsHaibGm12878Foxm1sc502V0422111UniPk.narrowPeak.gz	GM12878	ChipSeq	FOXM1_(SC-502)	Peaks		narrowPeak	HudsonAlpha	Data
